company_name,extracted_email,website,art_affinity_score,art_category,country
Interior Designers Sydney | Rob Mills,contact@robmills.com.au,https://www.robmills.com.au/sydney/interiors,0.0,Neutral,Australia
"VL50: Australia's top 50 interior designers, architects ...",accessissues@news.com.au,https://www.vogue.com.au/vogue-living/design/vl50-australias-top-50-interior-designers-architects-product-designers-and-artists/image-gallery/e021e0a926e987566a6fd9b98f11e8f3,0.0,Neutral,Australia
Hare + Klein Interior Design - Sydney Interior Designers,info@hareklein.com.au,https://hareklein.com.au/,0.0,Neutral,Australia
"Melbourne Interior Designer & Decorator, Victoria","brydie@janegormandecorators.com.au,jane@janegormandecorators.com.au",https://janegormandecorators.com.au/,0.0,Neutral,Australia
"Anna Spiro Design: Brisbane, Sydney & Melbourne based ...","info@annaspirodesign.com.au,info@spirostore.com.au",https://annaspirodesign.com.au/,0.0,Neutral,Australia
Porch Light Interiors | Interior Decorating & Design Studio ...,"example@mysite.com,info@porchlightinteriors.com.au",https://www.porchlightinteriors.com.au/,0.0,Neutral,Australia
Seven Willow Designs | Perth Leading Interior Designer for ...,"enquiry@sevenwillowdesigns.com,8c4075d5481d476e945486754f783364@sentry.io",https://www.sevenwillowdesigns.com/,0.0,Neutral,Australia
Interior Designer Perth - Home Styling Design Services,lindy@lindydewaalinteriors.com.au,"http://www.lindydewaalinteriors.com.au/interior-designer-perth/#:~:text=Interior%20Designer%20Perth%2DConsultation%20Costs,%E2%80%93%20Hourly%20design%20fee%20%E2%80%93%20%24100.",0.0,Neutral,Australia
Moda Interiors | Moda Interior Design - Perth WA,INFO@MODAINTERIORS.COM.AU,https://modainteriors.com.au/,0.0,Neutral,Australia
Georgie Shepherd Interior Design,admin@georgieshepherd.com.au,https://georgieshepherd.com.au/,0.0,Neutral,Australia
Interior Designers Association of South Australia,"geraldine1@internode.on.net,user@domain.com,design@nickola.com.au,michael@ashburtondesign.com.au,trishpickering@bigpond.com,gailscrymgour@gmail.com",https://www.ida-sa.org/,0.0,Neutral,Australia
Home | ILKA interior design studio | Gold Coast | Tweed ...,"8c4075d5481d476e945486754f783364@sentry.io,info@ilkainteriordesignstudio.com.au",https://www.ilkainteriordesignstudio.com/home,0.0,Neutral,Australia
Studio Black Interiors by Maria Cerne | Interior Designer ...,info@studioblack.com.au,https://www.studioblack.com.au/,0.0,Neutral,Australia
Loft Studio Canberra: Interior Designer,kshah@loftstudio.com.au,https://www.loftstudio.com.au/,0.0,Neutral,Australia
The Dept. of Design | Interior Designers,info@deptofdesign.com.au,https://deptofdesign.com.au/,0.0,Neutral,Australia
Morrison Studios | Sunshine Coast Commercial and ...,"hello@dannimorrisonstudios.com,ello@morrisonstudios.com.au,user@domain.com,info@dannimorrisonstudios.com,hello@morrisonstudios.com.au",https://www.morrisonstudios.com.au/,0.0,Neutral,Australia
RJP Design and Decor – Home Interior Designer,enquiries@rjpdesignanddecor.com.au,https://www.rjpdesignanddecor.com.au/,0.0,Neutral,Australia
