company_name,extracted_email,website,art_affinity_score,art_category,country
Interioristas Madrid - Rosario Lopez Interiorismo,info@rosariolopez.es,https://rosariolopez.es/,5.0,Modern/Abstract,Spain
Decoradores e Interioristas en Madrid | Diseñadores Top,hola@luciahidalgointeriorismo.com,https://luciahidalgointeriorismo.com/,7.0,Modern/Abstract,Spain
Interioristas Madrid - Rosario Lopez Interiorismo,info@rosariolopez.es,https://rosariolopez.es/,5.0,Modern/Abstract,Spain
Decoradores e Interioristas en Madrid | Diseñadores Top,hola@luciahidalgointeriorismo.com,https://luciahidalgointeriorismo.com/,7.0,Modern/Abstract,Spain
¿Qué es y cuales son las funciones de un interiorista? - Interni Esterni,info@ie2.es,https://www.ie2.es/que-es-y-cuales-son-las-funciones-de-un-interiorista/,2.0,Modern/Abstract,Spain
Interioristas Madrid - Rosario Lopez Interiorismo,,https://rosariolopez.es/,5.0,Modern/Abstract,Spain
Estudio de interiorismo y decoración en Madrid 【Dimensi-on】,info@dimensi-on.com,https://www.dimensi-on.com/,1.0,Modern/Abstract,Spain
Coblonal: Estudio de Interiorismo en Barcelona,"info@coblonal.com,trabajaconnosotros@coblonal.com",https://coblonal.com/,1.0,Modern/Abstract,Spain
Xavier Gero Interiorismo: Decoradores de interiores en ...,interiorisme@xaviergero.com,https://www.xaviergero.com/,61.0,Modern/Abstract,Spain
Estudio Romanelli: Estudio de Interiorismo y Arquitectura en ...,info@estudioromanelli.es,https://estudioromanelli.es/,4.0,Modern/Abstract,Spain
Xavier Gero Interiorismo: Decoradores de interiores en ...,interiorisme@xaviergero.com,https://www.xaviergero.com/,61.0,Modern/Abstract,Spain
Estudio Romanelli: Estudio de Interiorismo y Arquitectura en ...,info@estudioromanelli.es,https://estudioromanelli.es/,4.0,Modern/Abstract,Spain
Coblonal: Estudio de Interiorismo en Barcelona,"info@coblonal.com,trabajaconnosotros@coblonal.com",https://coblonal.com/,1.0,Modern/Abstract,Spain
Estudio Romanelli: Estudio de Interiorismo y Arquitectura en ...,info@estudioromanelli.es,https://estudioromanelli.es/,4.0,Modern/Abstract,Spain
Xavier Gero Interiorismo: Decoradores de interiores en ...,interiorisme@xaviergero.com,https://www.xaviergero.com/,61.0,Modern/Abstract,Spain
Estudio interiorismo Valencia. Decoradores de interiores ...,nonna@nonnadesign.com,https://nonnadesign.com/,2.0,Modern/Abstract,Spain
Estudio interiorismo Valencia. Decoradores de interiores ...,nonna@nonnadesign.com,https://nonnadesign.com/,2.0,Modern/Abstract,Spain
Estudio interiorismo Valencia. Decoradores de interiores ...,nonna@nonnadesign.com,https://nonnadesign.com/,2.0,Modern/Abstract,Spain
¿Qué es y cuales son las funciones de un interiorista? - Interni Esterni,info@ie2.es,https://www.ie2.es/que-es-y-cuales-son-las-funciones-de-un-interiorista/,2.0,Modern/Abstract,Spain
¿Cuánto cuesta el diseño de interiores? Precios en 2025,"collection@infegy.com,cronoshare@cronoshare.com","https://www.cronoshare.com/cuanto-cuesta/diseno-interiores#:~:text=El%20precio%20por%20hora%20de,precios%20desde%2015%20%E2%82%AC%2Fm2.",1.0,Modern/Abstract,Spain
Estudio de interioristas en Sevilla,info@rosariolopez.es,https://rosariolopez.es/interiorismo-en-sevilla/,6.0,Modern/Abstract,Spain
