company_name,website,source,search_term,target_city,extracted_email,art_affinity_score,score_details,art_category
Interior Designers Sydney | Rob Mills,https://www.robmills.com.au/sydney/interiors,Google,Interior Designers,"Greater Sydney, New South Wales, Australia",contact@robmills.com.au,0.0,M:1/T:1,Neutral
"VL50: Australia's top 50 interior designers, architects ...",https://www.vogue.com.au/vogue-living/design/vl50-australias-top-50-interior-designers-architects-product-designers-and-artists/image-gallery/e021e0a926e987566a6fd9b98f11e8f3,Google,Interior Designers,"Greater Sydney, New South Wales, Australia",accessissues@news.com.au,0.0,M:0/T:0,Neutral
Hare + Klein Interior Design - Sydney Interior Designers,https://hareklein.com.au/,Google,Interior Decorators,"Greater Sydney, New South Wales, Australia",info@hareklein.com.au,0.0,M:0/T:0,Neutral
"Melbourne Interior Designer & Decorator, Victoria",https://janegormandecorators.com.au/,Google,Interior Decorators,"Greater Melbourne, Victoria, Australia","brydie@janegormandecorators.com.au,jane@janegormandecorators.com.au",0.0,M:0/T:0,Neutral
"Anna Spiro Design: Brisbane, Sydney & Melbourne based ...",https://annaspirodesign.com.au/,Google,Interior Designers,"Brisbane, Queensland, Australia","info@annaspirodesign.com.au,info@spirostore.com.au",0.0,M:0/T:0,Neutral
Porch Light Interiors | Interior Decorating & Design Studio ...,https://www.porchlightinteriors.com.au/,Google,Interior Designers,"Brisbane, Queensland, Australia","example@mysite.com,info@porchlightinteriors.com.au",0.0,M:0/T:0,Neutral
Seven Willow Designs | Perth Leading Interior Designer for ...,https://www.sevenwillowdesigns.com/,Google,Interior Designers,"Greater Perth, Western Australia, Australia","enquiry@sevenwillowdesigns.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Interior Designer Perth - Home Styling Design Services,"http://www.lindydewaalinteriors.com.au/interior-designer-perth/#:~:text=Interior%20Designer%20Perth%2DConsultation%20Costs,%E2%80%93%20Hourly%20design%20fee%20%E2%80%93%20%24100.",Google,Interior Designers,"Perth, Western Australia, Australia",lindy@lindydewaalinteriors.com.au,0.0,M:0/T:0,Neutral
Moda Interiors | Moda Interior Design - Perth WA,https://modainteriors.com.au/,Google,Interior Decorators,"Perth, Western Australia, Australia",INFO@MODAINTERIORS.COM.AU,0.0,M:0/T:0,Neutral
Georgie Shepherd Interior Design,https://georgieshepherd.com.au/,Google,Interior Designers,"Adelaide, South Australia, Australia",admin@georgieshepherd.com.au,0.0,M:0/T:0,Neutral
