company_name,website,source,search_term,target_city,extracted_email,art_affinity_score,score_details,art_category
Rachel Chudley Interior Design,https://www.rachelchudley.com/,Google,Interior Designers,"London, England, UK","user@domain.com,info@rachelchudley.com",0.0,M:3/T:3,Neutral
David Collins Studio: Luxury Interior Designers | Interior ...,https://www.davidcollins.studio/,Google,Interior Designers,"London, England, UK","newbusiness@davidcollins.studio,studio@davidcollins.studio",0.0,M:0/T:0,Neutral
Katharine Pooley Luxury Interior Design and Interior ...,https://katharinepooley.com/,Google,Interior Designers,"London, England, UK","procurement@katharinepooley.com,enquiries@katharinepooley.com,homedressing@katharinepooley.com,recruitment@katharinepooley.com,shop@katharinepooley.com,projects@katharinepooley.com,katharinepooley@bacchus.agency",0.0,M:0/T:0,Neutral
Luxury Interior Designer In Birmingham - Cream&Black,https://www.creamandblack.co.uk/,Google,Interior Designers,"Birmingham, England, UK",hello@creamandblack.co.uk,0.0,M:0/T:0,Neutral
High End Interior Designer,https://www.rachaelreidinteriors.co.uk/high-end-interior-designer/,Google,Interior Designers,"Birmingham, England, UK",showroom@rachaelreidinteriors.co.uk,0.0,M:1/T:1,Neutral
"Julie English Interiors in Birmingham, England",https://julieenglishinteriors.com/,Google,Interior Decorators,"Birmingham, England, UK","julie@julieenglishinteriors.co.uk,impallari@gmail.com,astigma@astigmatic.com,matt@pixelspread.com,hello@rfuenzalida.com",0.0,M:0/T:0,Neutral
Welcome to Chelsea Mclaine Interior Design,https://chelseamclaine.co.uk/,Google,Interior Designers,"Glasgow, Scotland, UK","designers@chelseamclaine.co.uk,Designers@chelseamclaine.co.uk",0.0,Connection Failed,Neutral
"Homes and Interiors - Interior Designer in Glasgow, Scotland",https://www.homesandinteriors.co.uk/,Google,Interior Designers,"Glasgow, Scotland, UK",enquiries@homesandinteriors.co.uk,0.0,M:0/T:0,Neutral
Interior Designer | Manchester | Cheshire | Liverpool,https://natalieholden.com/,Google,Interior Designers,"Liverpool, England, UK","info@natalieholden.com,INFO@NATALIEHOLDEN.COM",0.0,M:1/T:1,Neutral
HK Interiors: Interior designer | Liverpool,https://www.hk-interiors.com/,Google,Interior Designers,"Liverpool, England, UK","info@hk-interiors.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Three Interior Design Cheshire & Manchester,https://www.threeinteriordesign.co.uk/,Google,Interior Designers,"Manchester, England, UK",angela@threeinteriordesign.co.uk,0.0,Connection Failed,Neutral
Manchester-based Interior Design Studio,https://www.spacesbykelly.com/,Google,Interior Designers,"Manchester, England, UK","kel.moorcroft@gmail.com,kelly@spacesbykelly.com",0.0,M:0/T:0,Neutral
Amy Newton Interiors: Home,https://www.amynewtoninteriors.co.uk/,Google,Interior Decorators,"Manchester, England, UK","amy@amynewtoninteriors.co.uk,email@example.com",0.0,M:0/T:0,Neutral
Luxury Interior Design Cheshire by Chloe Boyd & Co,https://chloeboydco.com/,Google,Interior Decorators,"Manchester, England, UK",chloe@chloeboydco.com,0.0,M:1/T:1,Neutral
Interior Designers | Sheffield - Drew Decor,https://www.drewdecor.co.uk/interior-designers-sheffield,Google,Interior Designers,"Sheffield, England, UK",8c4075d5481d476e945486754f783364@sentry.io,0.0,M:0/T:0,Neutral
Wolfe Interiors: Home,https://wolfeinteriors.co.uk/,Google,Interior Designers,"Sheffield, England, UK",elizabeth@wolfeinteriors.co.uk,0.0,M:0/T:0,Neutral
Ampersand Interiors - interior design Edinburgh & London,https://www.ampersandinteriors.co.uk/,Google,Interior Designers,"Edinburgh, Scotland, UK",enquiries@ampersandinteriors.co.uk,0.0,M:0/T:0,Neutral
Malcolm Duffin Design are a leading commercial and ...,https://www.malcolmduffin.co.uk/,Google,Interior Designers,"Edinburgh, Scotland, UK","hayley@malcolmduffin.co.uk,sarah@malcolmduffin.co.uk",0.0,M:0/T:0,Neutral
Ben Huckerby Design: Luxurious interior design,https://www.benhuckerbydesign.co.uk/,Google,Interior Designers,"Leeds, England, UK",info@benhuckerbydesign.co.uk,0.0,M:0/T:0,Neutral
Interior Decorator Designer And Artist | Haus Creative,https://www.hauscreative.co.uk/,Google,Interior Decorators,"Leeds, England, UK","hauscreative2020@gmail.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Margot & Miller | Interior Designers Leeds,https://margotandmiller.co.uk/,Google,Interior Decorators,"Leeds, England, UK",Jane@margotandmiller.co.uk,0.0,M:1/T:1,Neutral
Black Ivy Design: Commercial Interior Design,https://blackivydesign.co.uk/,Google,Interior Designers,"Coventry, England, UK",leanne@blackivydesign.co.uk,0.0,M:0/T:0,Neutral
Olliver Design Studio,https://olliverdesignstudio.com/,Google,Interior Designers,"Coventry, England, UK","olliverdesignstudio@outlook.com,office@OLLIVERDESIGNSTUDIO.COM,office@olliverdesignstudio.com",0.0,M:0/T:0,Neutral
Louise Misell Interiors: Exciting interior design for a home you ...,https://louisemisellinteriors.co.uk/,Google,Interior Designers,"Cardiff, Wales, UK",hello@louisemisellinteriors.co.uk,0.0,M:0/T:0,Neutral
Interior Designer | Wales | taLK interiors | interiors | cardiff |,https://www.talkinteriors.co.uk/,Google,Interior Designers,"Cardiff, Wales, UK","hello@talkinteriors.co.uk,info@mysite.com",0.0,M:0/T:0,Neutral
Project One: Luxury Interior Designers Cardiff | Bespoke ...,https://projectone.design/,Google,Interior Designers,"Cardiff, Wales, UK","firstbase@projectone.design,%20firstbase@projectone.design",0.0,M:0/T:0,Neutral
Interior Design Services In Bradford,https://rbsarchitects.co.uk/service/interiors/,Google,Interior Designers,"Bradford, England, UK",saltaire@rbsarchitects.co.uk,0.0,M:0/T:0,Neutral
Regal Interiors | Interior Design across Leeds & Bradford ...,https://regal-interiors.co.uk/,Google,Interior Designers,"Bradford, England, UK",info@regalinteriors.co.uk,0.0,M:0/T:0,Neutral
"Bradford Architects, UK Architects, Beckwith Design ...",https://beckwithdesign.co.uk/,Google,Interior Designers,"Bradford, England, UK","anthony.barnett@beckwithdesign.co.uk,Sue.Lupton@beckwithdesign.co.uk,tony.lupton@beckwithdesign.co.uk,gus.brown@beckwithdesign.co.uk,Tony.Lupton@beckwithdesign.co.uk",0.0,M:0/T:0,Neutral
Thompson Clarke - Northern Ireland Interior Designers,https://www.thompsonclarke.com/,Google,Interior Designers,"Belfast, Northern Ireland, UK",info@thompsonclarke.com,0.0,M:0/T:0,Neutral
Interior Designer Belfast | Designers In Northern Ireland ...,https://ianthompsoninteriors.com/,Google,Interior Designers,"Belfast, Northern Ireland, UK",info@ianthompsoninteriors.com,0.0,M:0/T:0,Neutral
Absolute Interior Designers: Interior Design Newcastle,https://www.absoluteinteriors.com/,Google,Interior Designers,"Newcastle upon Tyne, England, UK","Jason@absoluteinteriors.com,jason@absoluteinteriors.com",0.0,M:0/T:0,Neutral
GR Studios: Residential & Commercial Interior Design,https://gr-studios.com/,Google,Interior Designers,"Newcastle upon Tyne, England, UK",ray@gr-studios.com,0.0,M:1/T:1,Neutral
Lydia Michie Interior Design | Newcastle upon Tyne,https://www.lydiamichieinteriordesign.co.uk/,Google,Interior Decorators,"Newcastle upon Tyne, England, UK",contact@lydiamichieinteriordesign.co.uk,0.0,M:0/T:0,Neutral
Luxury Interior Designer Brighton,https://susanvenn.com/interior-designer-brighton/,Google,Interior Designers,"Brighton, England, UK",studio@susanvenn.com,0.0,M:0/T:0,Neutral
Adolpho Designs – For Designs as unique as you are…,https://www.adolphodesigns.co.uk/,Google,Interior Designers,"Milton Keynes, England, UK",julie@adolphodesigns.co.uk,0.0,M:1/T:1,Neutral
Karen Jackman Interiors,https://karenjackmaninteriors.co.uk/,Google,Interior Decorators,"Milton Keynes, England, UK","info@ndiscovered.com,impallari@gmail.com,hello@karenjackmaninteriors.co.uk,hello@rfuenzalida.com",0.0,M:0/T:0,Neutral
Interior Design-Kingston Graphics-Hull-Yorkshire-Ian Dean,https://www.kingstongraphics.co.uk/interiordesign-k.html,Google,Interior Designers,"Kingston upon Hull, England, UK",info@kingstongraphics.co.uk,0.0,M:0/T:0,Neutral
Amii Interiors | United Kingdom,https://www.amii-interiors.co.uk/,Google,Interior Designers,"Plymouth, England, UK",helloamii@icloud.com,0.0,M:0/T:0,Neutral
"Hobbs Home Interiors – Beautiful, Practical Interiors – Styled ...",https://hobbshomeinteriors.co.uk/,Google,Interior Designers,"Plymouth, England, UK","Jayne@hobbshomeinteriors.co.uk,jayne@hobbshomeinteriors.co.uk",0.0,M:0/T:0,Neutral
Interior Designer | Freelance Designer | Wolverhampton,https://www.jennywhittingham.com/interior-design-1,Google,Interior Designers,"Wolverhampton, England, UK","jennywhittinghamdesign@gmail.com,8c4075d5481d476e945486754f783364@sentry.io",0.0,M:0/T:0,Neutral
Aston Bentley Interiors Ltd - Wolverhampton,https://www.astonbentleyinteriors.co.uk/,Google,Interior Designers,"Wolverhampton, England, UK",astonbentleyinteriors@gmail.com,0.0,M:0/T:0,Neutral
Smart Interiors: Bespoke Handmade Soft Furnishings ...,https://thesmartinteriors.co.uk/,Google,Interior Designers,"Stoke-on-Trent, England, UK",smartinteriors@hotmail.co.uk,0.0,M:0/T:0,Neutral
Brand Interiors Stoke,https://brandinteriors.co.uk/brand-interiors-stoke/,Google,Interior Designers,"Stoke-on-Trent, England, UK",info@brandinteriors.co.uk,0.0,M:0/T:0,Neutral
Lewis Interiors: Home Interior Design Services in Derby,https://lewis-interiors.co.uk/,Google,Interior Designers,"Derby, England, UK",sales@lewis-interiors.co.uk,0.0,M:1/T:1,Neutral
Bespoke Fitted Interiors,https://www.kedlestoninteriors.com/,Google,Interior Decorators,"Derby, England, UK",sales@kedlestoninteriors.com,0.0,M:0/T:0,Neutral
Paper Room Interiors: Interior Design Hampshire,https://paperroominteriors.co.uk/,Google,Interior Designers,"Southampton, England, UK",sarah@paperroominteriors.co.uk,0.0,M:0/T:0,Neutral
IRC Interiors – Interior Design,https://ircinteriors.com/,Google,Interior Decorators,"Portsmouth, England, UK",info@ircinteriors.com,0.0,M:0/T:0,Neutral
"Interior Design Services in Reading, Berkshire",https://annehaimesinteriors.co.uk/locations/berkshire/reading/,Google,Interior Designers,"Reading, England, UK",info@annehaimesinteriors.co.uk,0.0,M:1/T:1,Neutral
"Alexander James Interiors, Award winning interior designers",https://www.aji.co.uk/,Google,Interior Designers,"Reading, England, UK","enquiries@aji.co.uk,info@aji.co.uk",0.0,M:0/T:0,Neutral
