company_name,extracted_email,website,art_affinity_score,art_category,country
Rachel Chudley Interior Design,"user@domain.com,info@rachelchudley.com",https://www.rachelchudley.com/,0.0,Neutral,UK
David Collins Studio: Luxury Interior Designers | Interior ...,"newbusiness@davidcollins.studio,studio@davidcollins.studio",https://www.davidcollins.studio/,0.0,Neutral,UK
Katharine Pooley Luxury Interior Design and Interior ...,"procurement@katharinepooley.com,enquiries@katharinepooley.com,homedressing@katharinepooley.com,recruitment@katharinepooley.com,shop@katharinepooley.com,projects@katharinepooley.com,katharinepooley@bacchus.agency",https://katharinepooley.com/,0.0,Neutral,UK
Luxury Interior Designer In Birmingham - Cream&Black,hello@creamandblack.co.uk,https://www.creamandblack.co.uk/,0.0,Neutral,UK
High End Interior Designer,showroom@rachaelreidinteriors.co.uk,https://www.rachaelreidinteriors.co.uk/high-end-interior-designer/,0.0,Neutral,UK
"Julie English Interiors in Birmingham, England","julie@julieenglishinteriors.co.uk,impallari@gmail.com,astigma@astigmatic.com,matt@pixelspread.com,hello@rfuenzalida.com",https://julieenglishinteriors.com/,0.0,Neutral,UK
Welcome to Chelsea Mclaine Interior Design,"designers@chelseamclaine.co.uk,Designers@chelseamclaine.co.uk",https://chelseamclaine.co.uk/,0.0,Neutral,UK
"Homes and Interiors - Interior Designer in Glasgow, Scotland",enquiries@homesandinteriors.co.uk,https://www.homesandinteriors.co.uk/,0.0,Neutral,UK
Interior Designer | Manchester | Cheshire | Liverpool,"info@natalieholden.com,INFO@NATALIEHOLDEN.COM",https://natalieholden.com/,0.0,Neutral,UK
HK Interiors: Interior designer | Liverpool,"info@hk-interiors.com,8c4075d5481d476e945486754f783364@sentry.io",https://www.hk-interiors.com/,0.0,Neutral,UK
Three Interior Design Cheshire & Manchester,angela@threeinteriordesign.co.uk,https://www.threeinteriordesign.co.uk/,0.0,Neutral,UK
Manchester-based Interior Design Studio,"kel.moorcroft@gmail.com,kelly@spacesbykelly.com",https://www.spacesbykelly.com/,0.0,Neutral,UK
Amy Newton Interiors: Home,"amy@amynewtoninteriors.co.uk,email@example.com",https://www.amynewtoninteriors.co.uk/,0.0,Neutral,UK
Luxury Interior Design Cheshire by Chloe Boyd & Co,chloe@chloeboydco.com,https://chloeboydco.com/,0.0,Neutral,UK
Interior Designers | Sheffield - Drew Decor,8c4075d5481d476e945486754f783364@sentry.io,https://www.drewdecor.co.uk/interior-designers-sheffield,0.0,Neutral,UK
Wolfe Interiors: Home,elizabeth@wolfeinteriors.co.uk,https://wolfeinteriors.co.uk/,0.0,Neutral,UK
Ampersand Interiors - interior design Edinburgh & London,enquiries@ampersandinteriors.co.uk,https://www.ampersandinteriors.co.uk/,0.0,Neutral,UK
Malcolm Duffin Design are a leading commercial and ...,"hayley@malcolmduffin.co.uk,sarah@malcolmduffin.co.uk",https://www.malcolmduffin.co.uk/,0.0,Neutral,UK
Ben Huckerby Design: Luxurious interior design,info@benhuckerbydesign.co.uk,https://www.benhuckerbydesign.co.uk/,0.0,Neutral,UK
Interior Decorator Designer And Artist | Haus Creative,"hauscreative2020@gmail.com,8c4075d5481d476e945486754f783364@sentry.io",https://www.hauscreative.co.uk/,0.0,Neutral,UK
Margot & Miller | Interior Designers Leeds,Jane@margotandmiller.co.uk,https://margotandmiller.co.uk/,0.0,Neutral,UK
Black Ivy Design: Commercial Interior Design,leanne@blackivydesign.co.uk,https://blackivydesign.co.uk/,0.0,Neutral,UK
Olliver Design Studio,"olliverdesignstudio@outlook.com,office@OLLIVERDESIGNSTUDIO.COM,office@olliverdesignstudio.com",https://olliverdesignstudio.com/,0.0,Neutral,UK
Louise Misell Interiors: Exciting interior design for a home you ...,hello@louisemisellinteriors.co.uk,https://louisemisellinteriors.co.uk/,0.0,Neutral,UK
Interior Designer | Wales | taLK interiors | interiors | cardiff |,"hello@talkinteriors.co.uk,info@mysite.com",https://www.talkinteriors.co.uk/,0.0,Neutral,UK
Project One: Luxury Interior Designers Cardiff | Bespoke ...,"firstbase@projectone.design,%20firstbase@projectone.design",https://projectone.design/,0.0,Neutral,UK
Interior Design Services In Bradford,saltaire@rbsarchitects.co.uk,https://rbsarchitects.co.uk/service/interiors/,0.0,Neutral,UK
Regal Interiors | Interior Design across Leeds & Bradford ...,info@regalinteriors.co.uk,https://regal-interiors.co.uk/,0.0,Neutral,UK
"Bradford Architects, UK Architects, Beckwith Design ...","anthony.barnett@beckwithdesign.co.uk,Sue.Lupton@beckwithdesign.co.uk,tony.lupton@beckwithdesign.co.uk,gus.brown@beckwithdesign.co.uk,Tony.Lupton@beckwithdesign.co.uk",https://beckwithdesign.co.uk/,0.0,Neutral,UK
