company_name,website,source,search_term,target_city,extracted_email,art_affinity_score,score_details,art_category
What is the 70/30 rule in interior design? - Group 3 Designs,"https://www.group3designs.com/2025/05/what-is-the-70-30-rule-in-interior-design/#:~:text=The%2070%2F30%20rule%20suggests,the%20space%20from%20feeling%20monotonous.",Google,Interior Designers,"Birmingham, England, UK",info@group3designs.net,3.0,M:3/T:0,Modern/Abstract
Liverpool based online interior designer - convenient ...,https://theminiinteriordesigncompany.com/,Google,Interior Designers,"Liverpool, England, UK",info@theminiinteriordesigncompany.com,3.0,M:4/T:1,Modern/Abstract
KHAYA STUDIO BRISTOL | Timeless Interior Design in the ...,https://www.khayastudio.co.uk/,Google,Interior Designers,"Bristol, England, UK","kate@khayastudio.co.uk,example@mysite.com,8c4075d5481d476e945486754f783364@sentry.io,studiokhaya@gmail.com,info@mysite.com",1.0,M:2/T:1,Modern/Abstract
Beautiful Interior Design Across Bristol & Somerset | Jane ...,https://janebates.com/,Google,Interior Designers,"Bristol, England, UK",jane@janebates.com,1.0,M:1/T:0,Modern/Abstract
Fable and Form – Bristol based Interior Designers,https://fableandform.com/,Google,Interior Decorators,"Bristol, England, UK",hello@fableandform.com,1.0,M:1/T:0,Modern/Abstract
"TXTURED: Luxury Interior Design in Manchester, Cheshire ...",https://www.txtured.studio/,Google,Interior Designers,"Manchester, England, UK","ruth@interiorsinsideout.com,info@txtured.studio,sophie@interiorsinsideout.com,INFO@TXTURED.STUDIO",1.0,M:1/T:0,Modern/Abstract
"Interior Designers - Sheffield, Yorkshire, Derbyshire, Peak ...",https://blenheim.co.uk/design-and-architecture/interior-design,Google,Interior Designers,"Sheffield, England, UK",enquiries@blenheim.co.uk,1.0,M:1/T:0,Modern/Abstract
Wilding & Wolfe | Interior Architecture & Design Studio,https://wildingandwolfe.com/,Google,Interior Designers,"Sheffield, England, UK",studio@wildingandwolfe.com,1.0,M:3/T:2,Modern/Abstract
Beckett & Beckett Interiors: Interior Design in Leeds,https://beckettsinteriors.com/,Google,Interior Designers,"Leeds, England, UK",info@beckettsinteriors.com,1.0,M:1/T:0,Modern/Abstract
P A Interior Design Ltd - Coventry,https://www.pennyanninteriors.co.uk/,Google,Interior Designers,"Coventry, England, UK",pennyj87@live.co.uk,1.0,M:1/T:0,Modern/Abstract
Deborah Emmerson Interior Design,https://deborahemmerson.co.uk/,Google,Interior Designers,"Coventry, England, UK",deb@deborahemmerson.co.uk,1.0,M:1/T:0,Modern/Abstract
RKB Design Studio Ltd: Interior designers in Leicester,https://rkbdesignstudio.com/,Google,Interior Designers,"Leicester, England, UK",info@rkbdesignstudio.com,2.0,M:2/T:0,Modern/Abstract
Gloss Interiors: Interior Designers Leicester ...,https://www.glossinteriorsonline.com/,Google,Interior Decorators,"Leicester, England, UK","info@merakihairsalon.co.uk,info@katiealicefloraldesign.co.uk,info.glossinteriors@gmail.com,hello@theupcyclecompany.co.uk",1.0,M:2/T:1,Modern/Abstract
Design Studio Cardiff: Interior Design Cardiff,https://designstudiocardiff.co.uk/,Google,Interior Designers,"Cardiff, Wales, UK",info@designstudiocardiff.co.uk,12.0,M:13/T:1,Modern/Abstract
Interior Design in Wales | Wells & Maguire,https://wellsandmaguire.com/interior-design-in-wales/,Google,Interior Designers,"Cardiff, Wales, UK",studio@wellsandmaguire.com,1.0,M:2/T:1,Modern/Abstract
Sanct | Interior design services in Cardiff and South West UK.,https://www.sanct.co.uk/,Google,Interior Designers,"Cardiff, Wales, UK","sanctinteriors@gmail.com,example@mysite.com,info@sanct.co.uk",3.0,M:3/T:0,Modern/Abstract
About,https://www.katrinalewisinteriors.co.uk/about-your-luxury-interior-designer-in-yorkshire-katrina-lewis-interiors/,Google,Interior Designers,"Bradford, England, UK",katrina@katrinalewisinteriors.co.uk,1.0,M:1/T:0,Modern/Abstract
Decorator In Bradford,https://decoratorinbradford.co.uk/,Google,Interior Decorators,"Bradford, England, UK","your@email.com,info@decoratorinbradford.co.uk",1.0,M:1/T:0,Modern/Abstract
Interior Designers Belfast Northern Ireland | Kris Turnbull,https://www.kristurnbull.com/,Google,Interior Designers,"Belfast, Northern Ireland, UK",studio@kristurnbull.com,6.0,M:10/T:4,Modern/Abstract
Atelier Branco & Fairley | interior designer Northern Ireland,https://www.atelier-design.co.uk/,Google,Interior Designers,"Belfast, Northern Ireland, UK","hello@atelier-design.co.uk,info@mysite.com",1.0,M:3/T:2,Modern/Abstract
Garuda Design | Interior Designer Northern Ireland | UK,https://garudadesign.com/,Google,Interior Designers,"Belfast, Northern Ireland, UK",info@garudadesign.com,1.0,M:1/T:0,Modern/Abstract
Interior Design | Willow & Maine,https://www.willowandmaine.co.uk/,Google,Interior Designers,"Newcastle upon Tyne, England, UK","hello@willowandmaine.co.uk,stretch@crop2.jpg.webp,fit284x189@2x.jpg.webp,hcrop2292x1910@stretch.jpg.webp,crop284x189@2x.jpg.webp,crop225x154@2x.jpg.webp,crop600x396@2x.jpg.webp,crop339x224@2x.png.webp,crop339x224@2x.jpg.webp,crop2@2x.jpg.webp,fit225x154@2x.jpg.webp,crop225x154@2x.png.webp,fit600x396@2x.jpg.webp,zoom302x238z82000cw344@2x.jpg.webp,lorraine@willowandmaine.co.uk,hcrop1528x1273@stretch.jpg.webp,zoom292x230z82000cw356@2x.jpg.webp,hcrop1671x1910@stretch.jpg.webp,fit400x264@2x.jpg.webp,crop284x189@2x.png.webp,crop400x264@2x.jpg.webp,zoom428x337z82000cw523@2x.jpg.webp,hcrop1114x1273@stretch.jpg.webp,fit339x224@2x.jpg.webp,hcrop1920x1600@stretch.jpg.webp,crop400x264@2x.png.webp,zoom466x367z82000cw536@2x.jpg.webp,zoom516x406z82000cw629@2x.jpg.webp,hcrop1400x1600@stretch.jpg.webp",2.0,M:3/T:1,Modern/Abstract
Design North - Interior Design & Architecture,https://www.design-north.co.uk/,Google,Interior Designers,"Newcastle upon Tyne, England, UK",info@architects-group.com,1.0,M:1/T:0,Modern/Abstract
"Interior Designers Sussex, Surrey & London",https://www.pfeifferdesign.co.uk/,Google,Interior Designers,"Brighton, England, UK",info@pfeifferdesign.co.uk,11.0,M:15/T:4,Modern/Abstract
"Brighton, Sussex | Wilde + Co Interiors",https://wildeinteriors.co.uk/,Google,Interior Decorators,"Brighton, England, UK",cathie@wildeinteriors.co.uk,2.0,M:2/T:0,Modern/Abstract
Interior Design & Home Staging in Milton Keynes,https://www.lesleyanninteriors.com/,Google,Interior Designers,"Milton Keynes, England, UK",lesleyanninteriors@gmail.com,1.0,M:1/T:0,Modern/Abstract
Interior Design Services | Expert Design & Planning,https://innercreate.uk/interior-design/,Google,Interior Designers,"Milton Keynes, England, UK","hello@innercreate.uk,%20hello@innercreate.uk",4.0,M:5/T:1,Modern/Abstract
CloudNine Creative Interiors - Interior Designers - Milton Keynes,https://www.cloudninecreativeinteriors.co.uk/,Google,Interior Designers,"Milton Keynes, England, UK","info@cloudninecreativeinteriors.co.uk,sales@cloudninecreativeinteriors.co.uk",1.0,M:1/T:0,Modern/Abstract
Alle Interiors - Interior Design & Soft Furnishing,https://alle-interiors.co.uk/,Google,Interior Designers,"Milton Keynes, England, UK","alle@alle-interiors.co.uk,ALLE@ALLE-INTERIORS.CO.UK",4.0,M:5/T:1,Modern/Abstract
Architecture CAD Interior Designers Kingston upon Hull,https://www.siliconec.co.uk/architectural-services/kingston-upon-hull-architectural-engineering.html,Google,Interior Designers,"Kingston upon Hull, England, UK",info@siliconec.co.uk,3.0,M:4/T:1,Modern/Abstract
