company_name,website,source,search_term,target_city,extracted_email,art_affinity_score,score_details,art_category
"Interior Designer Salary in Madrid, Spain (2025) - ERI SalaryExpert","https://www.salaryexpert.com/salary/job/interior-designer/spain/madrid#:~:text=The%20average%20interior%20designer%20gross,average%20bonus%20of%201.396%20%E2%82%AC.",Google,Diseñador de interiores,"Madrid, Comunidad de Madrid, España",info.eri@erieri.com,0.0,M:0/T:0,Neutral
Paula González Interiorista | Proyectos de Decoración e ...,https://paulagonzalezinteriorista.com/,Google,Diseñador de interiores,"Madrid, Comunidad de Madrid, España",,0.0,M:0/T:0,Neutral
Sonsoles Bravo - Interiorismo y decoración de interiores Madrid,https://sonsolesbravointeriorismo.com/,Google,Diseñador de interiores,"Madrid, Comunidad de Madrid, España","hello@sonsolesbravointeriorismo.com,nhello@sonsolesbravointeriorismo.com",0.0,Connection Failed,Neutral
Estudio interiorista en Madrid orientado a diseños de lujo,https://theroom-studio.com/decorador-interiores-madrid/,Google,Diseñador de interiores,"Madrid, Comunidad de Madrid, España",,0.0,Connection Failed,Neutral
Eva Salabart – Interiorismo en Madrid,https://evasalabart.es/,Google,Diseñador de interiores,"Madrid, Comunidad de Madrid, España",eva@evasalabart.es,0.0,M:0/T:0,Neutral
"INICIO - Interiorismo, Reformas, Estilismo y Home Staging ...",https://www.mariadelvalle.es/,Google,Diseñador de interiores,"Madrid, Comunidad de Madrid, España",,0.0,M:0/T:0,Neutral
"Decoradores de Interiores, Jardines y Diversos Materiales (Tazas ...","https://www.economia.gob.mx/datamexico/es/profile/occupation/decoradores-de-interiores-jardines-y-diversos-materiales-tazas-llaveros-etcetera#:~:text=La%20edad%20promedio%20de%20Decoradores,promedio%20de%20%244.4k%20MX.",Google,Decorador de interiores,"Madrid, Comunidad de Madrid, España",datamexico@economia.gob.mx,0.0,M:0/T:0,Neutral
Paula González Interiorista | Proyectos de Decoración e ...,https://paulagonzalezinteriorista.com/,Google,Decorador de interiores,"Madrid, Comunidad de Madrid, España",,0.0,M:0/T:0,Neutral
Sonsoles Bravo - Interiorismo y decoración de interiores Madrid,https://sonsolesbravointeriorismo.com/,Google,Decorador de interiores,"Madrid, Comunidad de Madrid, España","hello@sonsolesbravointeriorismo.com,nhello@sonsolesbravointeriorismo.com",0.0,M:0/T:0,Neutral
María Lantero | Interiorismo y Decoración Madrid | Estudio de ...,https://malamo.com/,Google,Decorador de interiores,"Madrid, Comunidad de Madrid, España",mlantero@malamo.com,0.0,M:0/T:0,Neutral
"INICIO - Interiorismo, Reformas, Estilismo y Home Staging ...",https://www.mariadelvalle.es/,Google,Decorador de interiores,"Madrid, Comunidad de Madrid, España",,0.0,M:0/T:0,Neutral
Eva Salabart – Interiorismo en Madrid,https://evasalabart.es/,Google,Decorador de interiores,"Madrid, Comunidad de Madrid, España",eva@evasalabart.es,0.0,M:0/T:0,Neutral
▷ Diseño y Decoradores de interiores Madrid 【 Cecilia Caro 】,https://ceciliacaro.com/,Google,Decorador de interiores,"Madrid, Comunidad de Madrid, España",info@ceciliacaro.com,0.0,M:0/T:0,Neutral
"Interior Designer Salary in Madrid, Spain (2025) - ERI SalaryExpert","https://www.salaryexpert.com/salary/job/interior-designer/spain/madrid#:~:text=The%20average%20interior%20designer%20gross,average%20bonus%20of%201.396%20%E2%82%AC.",Google,Interiorista,"Madrid, Comunidad de Madrid, España",info.eri@erieri.com,0.0,M:0/T:0,Neutral
"INICIO - Interiorismo, Reformas, Estilismo y Home Staging ...",https://www.mariadelvalle.es/,Google,Interiorista,"Madrid, Comunidad de Madrid, España",,0.0,M:0/T:0,Neutral
Estudio de Interiorismo de lujo en Madrid - The Room Studio,https://theroom-studio.com/decorador-interiores-madrid/,Google,Interiorista,"Madrid, Comunidad de Madrid, España",,0.0,Connection Failed,Neutral
Eva Salabart – Interiorismo en Madrid,https://evasalabart.es/,Google,Interiorista,"Madrid, Comunidad de Madrid, España",eva@evasalabart.es,0.0,M:0/T:0,Neutral
Mairena Suarez | Interiorista Madrid | Interiorismo Real,https://mairenasuarez.com/,Google,Interiorista,"Madrid, Comunidad de Madrid, España",info@mairenasuarez.com,0.0,M:0/T:0,Neutral
Diseño interiores salario en Barcelona - Jooble,"https://es.jooble.org/salary/dise%C3%B1o-interiores/Barcelona#:~:text=%C2%BFCu%C3%A1nto%20gana%20Dise%C3%B1o%20interiores%20en,15%2C69%20%E2%82%AC%20por%20hora.",Google,Diseñador de interiores,"Barcelona, Cataluña, España",,0.0,M:0/T:0,Neutral
"Interior Designer Salary in Barcelona, Spain (2025) - ERI SalaryExpert","https://www.salaryexpert.com/salary/job/interior-designer/spain/barcelona#:~:text=An%20entry%20level%20interior%20designer,average%20salary%20of%2053.228%20%E2%82%AC.",Google,Diseñador de interiores,"Barcelona, Cataluña, España",info.eri@erieri.com,0.0,M:0/T:0,Neutral
Interiorismo en Barcelona | Arquitectura Interior,https://theroom-studio.com/,Google,Diseñador de interiores,"Barcelona, Cataluña, España",,0.0,Connection Failed,Neutral
Sezam Studio - Interiorismo y reformas integrales en Barcelona,https://sezam.es/,Google,Diseñador de interiores,"Barcelona, Cataluña, España",marina@sezam.es,0.0,M:0/T:0,Neutral
Etna Studio: Estudio de Interiorismo en Barcelona,https://www.etnastudio.com/,Google,Diseñador de interiores,"Barcelona, Cataluña, España",info@etnastudio.com,0.0,M:0/T:0,Neutral
