company_name,extracted_email,website,art_affinity_score,art_category,country
"Thoughtful, Nature-Inspired Interior Designer Sydney","user@domain.com,kate@lifestyledesignco.com.au,larissa@lifestyledesignco.com.au,hello@lifestyledesignco.com.au",https://www.lifestyledesignco.com.au/,9.0,Modern/Abstract,Australia
Affordable Interior Design Services in Sydney by EB Studio,info@emmablomfield.com,https://emmablomfield.com/,2.0,Modern/Abstract,Australia
Interior Designer Melbourne | Interior Decorator | Interior Styling,admin@jasminemcclellanddesign.com.au,https://jasminemcclellanddesign.com.au/,5.0,Modern/Abstract,Australia
Australian Interior Designers + Decorators Taking On Small ...,"bea@thedesignfiles.net,submissions@thedesignfiles.net,u003eshop@thedesignfiles.net,ads@thedesignfiles.net,u003eads@thedesignfiles.net,shop@thedesignfiles.net,u003ebea@thedesignfiles.net,u003esubmissions@thedesignfiles.net",https://thedesignfiles.net/2024/02/interiors-small-project-designers,6.0,Modern/Abstract,Australia
What is the 70/30 rule in interior design? - Group 3 Designs,info@group3designs.net,"https://www.group3designs.com/2025/05/what-is-the-70-30-rule-in-interior-design/#:~:text=The%2070%2F30%20rule%20suggests,the%20space%20from%20feeling%20monotonous.",3.0,Modern/Abstract,Australia
Brendan Wong Design - Sydney Interior Designers,info@brendanwong.com,https://brendanwong.com/,3.0,Modern/Abstract,Australia
Interior Designer: Design & Construct Brisbane QLD,"marketing@darrenjames.com.au,info@darrenjames.com.au",https://www.darrenjames.com.au/,2.0,Modern/Abstract,Australia
Kim Black Design: Brisbane Interior Designer,kim@kimblack.com.au,https://www.kimblack.com.au/,1.0,Modern/Abstract,Australia
Little White Label: Interior Designer Brisbane | Queensland,"hello@littlewhitelabel.com.au,8c4075d5481d476e945486754f783364@sentry.io",https://www.littlewhitelabel.com.au/,1.0,Modern/Abstract,Australia
Alana O Interiors: Interior Designer and Decorator Perth,info@alanaointeriors.com.au,https://alanaointeriors.com.au/,2.0,Modern/Abstract,Australia
ColourCube Interiors: Residential Interior Designer for Perth WA,kristie.hill@colourcubeinteriors.com.au,https://colourcubeinteriors.com.au/,1.0,Modern/Abstract,Australia
Alisa & Lysandra | Interior Designers Adelaide,admin@alisaandlysandra.com.au,https://alisaandlysandra.com.au/?srsltid=AfmBOoqgzCQFiGCiwiY47H1erUwQPCa8Zr7jVPShjPkv_mXO5y_CNhyd,2.0,Modern/Abstract,Australia
Rachel Hutton Interior Design - Adelaide Interior Designer,rachel@rachelhuttondesign.com.au,http://rachelhuttondesign.com.au/,5.0,Modern/Abstract,Australia
Julberry Design - Home Interior Designers & Decorators in ...,julia@julberry.design,https://julberry.design/,3.0,Modern/Abstract,Australia
The Interior Studio: Home,enquiries@theinteriorstudio.com.au,https://theinteriorstudio.com.au/,5.0,Modern/Abstract,Australia
Interior Designer | Interior Decorator Adelaide | Luxury ...,info@linlininteriors.com,https://www.linlininteriors.com/,2.0,Modern/Abstract,Australia
