company_name,extracted_email,website,art_affinity_score,art_category,country
What is the 70/30 rule in interior design? - Group 3 Designs,info@group3designs.net,"https://www.group3designs.com/2025/05/what-is-the-70-30-rule-in-interior-design/#:~:text=The%2070%2F30%20rule%20suggests,the%20space%20from%20feeling%20monotonous.",3.0,Modern/Abstract,UK
Liverpool based online interior designer - convenient ...,info@theminiinteriordesigncompany.com,https://theminiinteriordesigncompany.com/,3.0,Modern/Abstract,UK
KHAYA STUDIO BRISTOL | Timeless Interior Design in the ...,"kate@khayastudio.co.uk,example@mysite.com,8c4075d5481d476e945486754f783364@sentry.io,studiokhaya@gmail.com,info@mysite.com",https://www.khayastudio.co.uk/,1.0,Modern/Abstract,UK
Beautiful Interior Design Across Bristol & Somerset | Jane ...,jane@janebates.com,https://janebates.com/,1.0,Modern/Abstract,UK
Fable and Form – Bristol based Interior Designers,hello@fableandform.com,https://fableandform.com/,1.0,Modern/Abstract,UK
"TXTURED: Luxury Interior Design in Manchester, Cheshire ...","ruth@interiorsinsideout.com,info@txtured.studio,sophie@interiorsinsideout.com,INFO@TXTURED.STUDIO",https://www.txtured.studio/,1.0,Modern/Abstract,UK
"Interior Designers - Sheffield, Yorkshire, Derbyshire, Peak ...",enquiries@blenheim.co.uk,https://blenheim.co.uk/design-and-architecture/interior-design,1.0,Modern/Abstract,UK
Wilding & Wolfe | Interior Architecture & Design Studio,studio@wildingandwolfe.com,https://wildingandwolfe.com/,1.0,Modern/Abstract,UK
Beckett & Beckett Interiors: Interior Design in Leeds,info@beckettsinteriors.com,https://beckettsinteriors.com/,1.0,Modern/Abstract,UK
P A Interior Design Ltd - Coventry,pennyj87@live.co.uk,https://www.pennyanninteriors.co.uk/,1.0,Modern/Abstract,UK
Deborah Emmerson Interior Design,deb@deborahemmerson.co.uk,https://deborahemmerson.co.uk/,1.0,Modern/Abstract,UK
RKB Design Studio Ltd: Interior designers in Leicester,info@rkbdesignstudio.com,https://rkbdesignstudio.com/,2.0,Modern/Abstract,UK
Gloss Interiors: Interior Designers Leicester ...,"info@merakihairsalon.co.uk,info@katiealicefloraldesign.co.uk,info.glossinteriors@gmail.com,hello@theupcyclecompany.co.uk",https://www.glossinteriorsonline.com/,1.0,Modern/Abstract,UK
Design Studio Cardiff: Interior Design Cardiff,info@designstudiocardiff.co.uk,https://designstudiocardiff.co.uk/,12.0,Modern/Abstract,UK
Interior Design in Wales | Wells & Maguire,studio@wellsandmaguire.com,https://wellsandmaguire.com/interior-design-in-wales/,1.0,Modern/Abstract,UK
Sanct | Interior design services in Cardiff and South West UK.,"sanctinteriors@gmail.com,example@mysite.com,info@sanct.co.uk",https://www.sanct.co.uk/,3.0,Modern/Abstract,UK
About,katrina@katrinalewisinteriors.co.uk,https://www.katrinalewisinteriors.co.uk/about-your-luxury-interior-designer-in-yorkshire-katrina-lewis-interiors/,1.0,Modern/Abstract,UK
Decorator In Bradford,"your@email.com,info@decoratorinbradford.co.uk",https://decoratorinbradford.co.uk/,1.0,Modern/Abstract,UK
Interior Designers Belfast Northern Ireland | Kris Turnbull,studio@kristurnbull.com,https://www.kristurnbull.com/,6.0,Modern/Abstract,UK
Atelier Branco & Fairley | interior designer Northern Ireland,"hello@atelier-design.co.uk,info@mysite.com",https://www.atelier-design.co.uk/,1.0,Modern/Abstract,UK
Garuda Design | Interior Designer Northern Ireland | UK,info@garudadesign.com,https://garudadesign.com/,1.0,Modern/Abstract,UK
