company_name,website,source,search_term,target_city,extracted_email,art_affinity_score,score_details,art_category
"Thoughtful, Nature-Inspired Interior Designer Sydney",https://www.lifestyledesignco.com.au/,Google,Interior Designers,"Greater Sydney, New South Wales, Australia","user@domain.com,kate@lifestyledesignco.com.au,larissa@lifestyledesignco.com.au,hello@lifestyledesignco.com.au",9.0,M:10/T:1,Modern/Abstract
Affordable Interior Design Services in Sydney by EB Studio,https://emmablomfield.com/,Google,Interior Decorators,"Greater Sydney, New South Wales, Australia",info@emmablomfield.com,2.0,M:2/T:0,Modern/Abstract
Interior Designer Melbourne | Interior Decorator | Interior Styling,https://jasminemcclellanddesign.com.au/,Google,Interior Decorators,"Greater Melbourne, Victoria, Australia",admin@jasminemcclellanddesign.com.au,5.0,M:6/T:1,Modern/Abstract
Australian Interior Designers + Decorators Taking On Small ...,https://thedesignfiles.net/2024/02/interiors-small-project-designers,Google,Interior Designers,"Melbourne, Victoria, Australia","bea@thedesignfiles.net,submissions@thedesignfiles.net,u003eshop@thedesignfiles.net,ads@thedesignfiles.net,u003eads@thedesignfiles.net,shop@thedesignfiles.net,u003ebea@thedesignfiles.net,u003esubmissions@thedesignfiles.net",6.0,M:12/T:6,Modern/Abstract
What is the 70/30 rule in interior design? - Group 3 Designs,"https://www.group3designs.com/2025/05/what-is-the-70-30-rule-in-interior-design/#:~:text=The%2070%2F30%20rule%20suggests,the%20space%20from%20feeling%20monotonous.",Google,Interior Designers,"Melbourne, Victoria, Australia",info@group3designs.net,3.0,M:3/T:0,Modern/Abstract
Brendan Wong Design - Sydney Interior Designers,https://brendanwong.com/,Google,Interior Designers,"Sydney, New South Wales, Australia",info@brendanwong.com,3.0,M:3/T:0,Modern/Abstract
Interior Designer: Design & Construct Brisbane QLD,https://www.darrenjames.com.au/,Google,Interior Designers,"Greater Brisbane, Queensland, Australia","marketing@darrenjames.com.au,info@darrenjames.com.au",2.0,M:3/T:1,Modern/Abstract
Kim Black Design: Brisbane Interior Designer,https://www.kimblack.com.au/,Google,Interior Decorators,"Greater Brisbane, Queensland, Australia",kim@kimblack.com.au,1.0,M:2/T:1,Modern/Abstract
Little White Label: Interior Designer Brisbane | Queensland,https://www.littlewhitelabel.com.au/,Google,Interior Decorators,"Greater Brisbane, Queensland, Australia","hello@littlewhitelabel.com.au,8c4075d5481d476e945486754f783364@sentry.io",1.0,M:1/T:0,Modern/Abstract
Alana O Interiors: Interior Designer and Decorator Perth,https://alanaointeriors.com.au/,Google,Interior Designers,"Greater Perth, Western Australia, Australia",info@alanaointeriors.com.au,2.0,M:3/T:1,Modern/Abstract
ColourCube Interiors: Residential Interior Designer for Perth WA,https://colourcubeinteriors.com.au/,Google,Interior Designers,"Greater Perth, Western Australia, Australia",kristie.hill@colourcubeinteriors.com.au,1.0,M:2/T:1,Modern/Abstract
Alisa & Lysandra | Interior Designers Adelaide,https://alisaandlysandra.com.au/?srsltid=AfmBOoqgzCQFiGCiwiY47H1erUwQPCa8Zr7jVPShjPkv_mXO5y_CNhyd,Google,Interior Designers,"Greater Adelaide, South Australia, Australia",admin@alisaandlysandra.com.au,2.0,M:2/T:0,Modern/Abstract
Rachel Hutton Interior Design - Adelaide Interior Designer,http://rachelhuttondesign.com.au/,Google,Interior Designers,"Greater Adelaide, South Australia, Australia",rachel@rachelhuttondesign.com.au,5.0,M:7/T:2,Modern/Abstract
Julberry Design - Home Interior Designers & Decorators in ...,https://julberry.design/,Google,Interior Designers,"Greater Adelaide, South Australia, Australia",julia@julberry.design,3.0,M:4/T:1,Modern/Abstract
The Interior Studio: Home,https://theinteriorstudio.com.au/,Google,Interior Decorators,"Greater Adelaide, South Australia, Australia",enquiries@theinteriorstudio.com.au,5.0,M:5/T:0,Modern/Abstract
Interior Designer | Interior Decorator Adelaide | Luxury ...,https://www.linlininteriors.com/,Google,Interior Designers,"Adelaide, South Australia, Australia",info@linlininteriors.com,2.0,M:4/T:2,Modern/Abstract
Tailored Space Interiors: Interior Designers Gold Coast ...,https://www.tailoredspace.com.au/?srsltid=AfmBOorJ_Np0h37DhJWfabvlBcgQmIlwv8LlVtb4dIdVTDEnXzokSPZF,Google,Interior Designers,"Gold Coast–Tweed Heads, Queensland
 New South Wales, Australia",email@website.com,1.0,M:1/T:0,Modern/Abstract
Top Interior Designer & Renovation Stylists in Tweed Heads,https://www.rachelelizabethinteriors.com/pages/interior-designer-tweed-heads?srsltid=AfmBOooVCHRciTk1k_oCXWk5jK9NIk7ndKznz62OLYEVIg5fjZwkDYD7,Google,Interior Designers,"Gold Coast–Tweed Heads, Queensland
 New South Wales, Australia",studio@rachelelizabethinteriors.com,1.0,M:12/T:11,Modern/Abstract
Expert interior design & home renovations Newcastle NSW,https://www.julieevansdesign.com.au/,Google,Interior Designers,"Newcastle–Maitland, New South Wales, Australia",info@julieevansdesign.com.au,2.0,M:2/T:0,Modern/Abstract
Interior Design,https://www.findlayandco.com.au/,Google,Interior Designers,"Newcastle–Maitland, New South Wales, Australia","hello@waukivoryestate.com.au,hello@naomifindlay.com",1.0,M:2/T:1,Modern/Abstract
Styled Interiors Newcastle: Home,https://www.styledinteriorsnewcastle.com.au/,Google,Interior Decorators,"Newcastle–Maitland, New South Wales, Australia","admin@styledinteriorsnewcastle.com.au,admin@styledinteriorsnewcastle.com",1.0,M:1/T:0,Modern/Abstract
#1 Brilliant Interior Designers in Canberra,https://alngroup.com.au/services-item/interior-designers-in-canberra/,Google,Interior Designers,"Australian Capital Territory, Australian Capital Territory, Australia","fsukhera@yahoo.com,admin@alngroup.com.au",12.0,M:13/T:1,Modern/Abstract
